data_incendi,codi_comarca,comarca,codi_municipi,termemunic,haarbrades,hanoarbrad,hanoforest,haforestal,source_table
2011-05-26T00:00:00.000,25,Pallars Jussà,252154,Talarn,0.67,0.2,0,0.87,bks7-dkfd
2011-05-26T00:00:00.000,18,Garrigues,250735,Cervià de les Garrigues,0,0.19,1.3,0.19,bks7-dkfd
2011-05-26T00:00:00.000,30,Ribera d'Ebre,430995,"Palma d'Ebre, la",0,0.03,0.6,0.03,bks7-dkfd
2011-05-26T00:00:00.000,08,Baix Camp,430094,Alforja,0,0.91,0,0.91,bks7-dkfd
2011-05-26T00:00:00.000,10,Baix Empordà,171609,Sant Feliu de Guíxols,0.25,0,0,0.25,bks7-dkfd
2011-05-28T00:00:00.000,02,Alt Empordà,171208,Palau-saverdera,0,0.05,0,0.05,bks7-dkfd
2011-05-28T00:00:00.000,21,Maresme,081108,Malgrat de Mar,0.001,0,0,0.001,bks7-dkfd
2011-05-28T00:00:00.000,10,Baix Empordà,170813,Gualta,0,0.007,0,0.007,bks7-dkfd
2011-05-28T00:00:00.000,07,Bages,081918,Sallent,0,0.004,0,0.004,bks7-dkfd
2011-05-28T00:00:00.000,11,Baix Llobregat,082634,Sant Vicenç dels Horts,0,0.18,0,0.18,bks7-dkfd
2011-05-29T00:00:00.000,16,Conca de Barberà,430862,Montblanc,0,0.05,0,0.05,bks7-dkfd
